"year","month","temperature"
1890,"February","-6.8"
1891,"February","-6.4"
1892,"February","-2.3"
1893,"February","-5.2"
1894,"February","-2.6"
1895,"February","-7.5"
1896,"February","-5.1"
1897,"February","-3.9"
1898,"February","-4.9"
1899,"February","-3.3"
1900,"February","-3.2"
1901,"February","-6.4"
1902,"February","-3.2"
1903,"February","-0.2"
1904,"February","-1.3"
1905,"February","-3.5"
1906,"February","-4.7"
1907,"February","-8.1"
1908,"February","-2.6"
1909,"February",-9
1910,"February",-1
1911,"February","-10.8"
1912,"February","-6.1"
1913,"February","-4.1"
1914,"February","0.7"
1915,"February","-3.3"
1916,"February","-2.5"
1917,"February",-11
1918,"February","-2.8"
1919,"February","-5.3"
1920,"February","-5.3"
1921,"February","-6.5"
1922,"February","-5.4"
1923,"February","-8.4"
1924,"February","-7.4"
1925,"February","1.5"
1926,"February","-4.8"
1927,"February","-6.4"
1928,"February","-7.9"
1929,"February","-15.9"
1930,"February","-3.9"
1931,"February","-9.9"
1932,"February","-10.3"
1933,"February","-5.2"
1934,"February","-3.3"
1935,"February","-3.5"
1936,"February","-5.4"
1937,"February","-4.3"
1938,"February","-3.4"
1939,"February",-1
1940,"February","-9.5"
1941,"February","-3.3"
1942,"February","-8.9"
1943,"February","-3.3"
1944,"February","-2.1"
1945,"February","-6.1"
1946,"February","-3.9"
1947,"February","-8.2"
1948,"February","-5.4"
1949,"February","-2.9"
1950,"February","-1.2"
1951,"February","-6.6"
1952,"February","-3.1"
1953,"February","-7.4"
1954,"February",-13
1955,"February","-3.1"
1956,"February","-13.1"
1957,"February","0.6"
1958,"February",-1
1959,"February","-2.6"
1960,"February",-5
1961,"February","-1.3"
1962,"February","-3.8"
1963,"February","-5.6"
1964,"February","-7.4"
1965,"February","-7.2"
1966,"February","-1.8"
1967,"February","-6.3"
1968,"February","-4.4"
1969,"February",-7
1970,"February","-4.9"
1971,"February","-3.6"
1972,"February","-4.4"
1973,"February","-0.2"
1974,"February","-0.1"
1975,"February",-2
1976,"February","-8.7"
1977,"February",-1
1978,"February","-5.2"
1979,"February","-6.3"
1980,"February","-4.4"
1981,"February","-2.2"
1982,"February","-4.9"
1983,"February","-2.6"
1984,"February","-5.9"
1985,"February","-12.5"
1986,"February","-9.2"
1987,"February","-3.9"
1988,"February","-3.4"
1989,"February","2.5"
1990,"February","2.7"
1991,"February","-5.8"
1992,"February","-1.7"
1993,"February","-2.4"
1994,"February","-5.8"
1995,"February","2.2"
1996,"February","-7.1"
1997,"February","-1.1"
1998,"February","0.4"
1999,"February","-1.5"
2000,"February",0
2001,"February","-2.5"
2002,"February","3.7"
2003,"February","-6.4"
2004,"February","-2.6"
2005,"February","-5.1"
2006,"February","-6.1"
2007,"February","-4.2"
2008,"February","0.6"
2009,"February","-1.7"
2010,"February","-3.2"
2011,"February","-6.1"
2012,"February",-10
2013,"February","-0.6"
2014,"February","-0.5"
1812,"March","-0.4"
1813,"March","-0.3"
1814,"March","0.7"
1815,"March","-1.7"
1816,"March",3
1817,"March","2.7"
1818,"March",4
1819,"March","1.6"
1820,"March","-2.1"
1821,"March","-3.3"
1822,"March","3.8"
1823,"March","2.1"
1824,"March","3.4"
